epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.3542369457522059,0.2932668924331665,0.9243565599497803,0.9163250912535279
2,0.27702851460232,0.29705122113227844,0.9096045197740112,0.8966358354223999
3,0.27176870696428346,0.2800396680831909,0.9328311362209667,0.9219454784442007
4,0.265111140119351,0.28768017888069153,0.9365976145637163,0.9302501039587523
5,0.26664329362594014,0.27588924765586853,0.9362837413684871,0.927856833779205
6,0.2601361481881723,0.27548614144325256,0.928436911487759,0.9158737070485842
7,0.26119174850665455,0.27796539664268494,0.935969868173258,0.9263462520021024
8,0.2641393464755237,0.27757498621940613,0.9262397991211551,0.914153296700273
9,0.2576032525640193,0.2822568416595459,0.9365976145637163,0.9294153026235961
10,0.26005928145676127,0.2784590423107147,0.9397363465160076,0.9316745697387269
11,0.25824264479361897,0.27695518732070923,0.9234149403640929,0.9120161999155648
12,0.2589393917138014,0.284152090549469,0.9387947269303202,0.9321688367251233
13,0.25778034656513027,0.28857511281967163,0.9356559949780289,0.9278353420540735
14,0.2574003714371503,0.2758204936981201,0.9309478970495919,0.9213338386570088
15,0.2639032071683465,0.28208431601524353,0.9240426867545511,0.9134510749016145
16,0.2612364567149945,0.28344088792800903,0.9369114877589454,0.9277326200647398
17,0.2590957422082017,0.28351515531539917,0.9193345888261143,0.909498587721521
18,0.2611480280151212,0.27656394243240356,0.933458882611425,0.9264509967566138
19,0.2613513061428458,0.2719857096672058,0.9306340238543629,0.9185506960898681
20,0.25800440539189473,0.2786262631416321,0.9322033898305084,0.921175587978273
21,0.2575143817963639,0.27824196219444275,0.935969868173258,0.9270075888022525
22,0.2625953398826646,0.27844563126564026,0.9303201506591338,0.9188088762179696
23,0.2597899272189877,0.28308218717575073,0.933458882611425,0.9236103245158898
24,0.254966835665509,0.2873438000679016,0.9353421217827997,0.9261391240397359
25,0.255601962770873,0.27814966440200806,0.9344005021971123,0.9247592065384277
26,0.26093776524066925,0.27545130252838135,0.9353421217827997,0.9241101984875811
27,0.25599698661788695,0.27234214544296265,0.9325172630257376,0.921089523778631
28,0.2560395404575317,0.2709629535675049,0.935969868173258,0.9267121327807604
29,0.25776832084345624,0.2729591131210327,0.9322033898305084,0.9204656948693745
30,0.2584261594991374,0.2784941792488098,0.9337727558066541,0.9241435246015227
31,0.2560537169134714,0.2913508415222168,0.9350282485875706,0.9261703146592627
32,0.2581538857240987,0.2740776836872101,0.9318895166352793,0.9200901079417981
33,0.258484101150094,0.2802436351776123,0.933458882611425,0.9243412136314658
34,0.25753872290374785,0.28800541162490845,0.9306340238543629,0.9235156508286427
35,0.25308363866515277,0.2869723439216614,0.9400502197112367,0.9312439739839173
36,0.2545715437187412,0.27919480204582214,0.9353421217827997,0.9256515111100887
37,0.25640628141600913,0.2744760811328888,0.9350282485875706,0.9251181027966743
